device,lambda_W,score,RT_curve_score,onset_score,width_score,lowT_score,note
AS004,0,0.351225088389714,0.178849786717198,0.458857142857143,0.169503751441978,0.964021358289263,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.025,0.351064483885246,0.178473466237536,0.460315789473684,0.16884162813943,0.962922324338843,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.05,0.350903879380778,0.178097145757873,0.461774436090226,0.168179504836882,0.961823290388422,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.075,0.350743274876309,0.177720825278211,0.463233082706767,0.167517381534334,0.960724256438002,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.1,0.350582670371841,0.177344504798548,0.464691729323308,0.166855258231786,0.959625222487581,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.125,0.350422065867373,0.176968184318886,0.46615037593985,0.166193134929238,0.958526188537161,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.15,0.350261461362905,0.176591863839223,0.467609022556391,0.16553101162669,0.95742715458674,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.175,0.350100856858436,0.176215543359561,0.469067669172932,0.164868888324142,0.95632812063632,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.2,0.349940252353968,0.175839222879898,0.470526315789474,0.164206765021594,0.955229086685899,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.225,0.3497796478495,0.175462902400236,0.471984962406015,0.163544641719046,0.954130052735479,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.25,0.349619043345032,0.175086581920573,0.473443609022556,0.162882518416499,0.953031018785058,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.275,0.349458438840563,0.174710261440911,0.474902255639098,0.162220395113951,0.951931984834638,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.3,0.349297834336095,0.174333940961248,0.476360902255639,0.161558271811403,0.950832950884217,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.325,0.349137229831627,0.173957620481586,0.47781954887218,0.160896148508855,0.949733916933796,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
AS004,0.35,0.348976625327159,0.173581300001923,0.479278195488722,0.160234025206307,0.948634882983376,"AS004 profile diagnoses whether intermediate-force response prefers zero, weak, or strong activation."
