gate,outcome,note
Phase 14A lock consumed unchanged,pass,"Phase 14B.1 consumes the frozen data/objective lock."
FB equilibrium baseline preserved,pass,"N0 and NI both start from FB."
Limited equilibrium R(T) status preserved,pass,"Phase 13F.4 limitation remains active."
Zero-current FB recovery declared as hard gate,pass,"Nonlinear switching cannot repair R(T)."
AS001 and AS004 only,pass,"Only dVdI(I,T) candidates enter Phase 14B."
AS006 remains deferred to Phase 15,pass,"Field sweeps are Phase 15 context."
Shared Ic(T) law declared,pass,"One law and one parameter set apply to AS001 and AS004."
No device-specific nonlinear gains,pass,"Manual currents, device gains, and device exponents are blocked."
Solver failure statuses declared,pass,"Nonconverged points must be kept in failure logs."
Synthetic limiting cases declared,pass,"Phase 14B.2 must verify implementation before AS001/AS004 fitting."
Training and holdout policy frozen,pass,"Held-out temperature and bias policies are frozen before execution."
Field and Raman targets excluded,pass,"No Raman, Phase 6, or field-period target is opened."
Thermal feedback absent,pass,"Thermal physics requires Phase 14C decision."
Clean provenance,pass,"True only when Phase 14B.1 starts from a clean checkout."
