gate,outcome,note
Frozen Phase 14B.5 artifacts consumed unchanged,pass,"All required Phase 14B.5 read-only inputs are present."
Frozen Phase 14B.5 artifact commit reachable,pass,"Commit b94ba33 is in the current history."
No solver rerun,pass,"Phase 14D reads frozen tables only."
No parameter retuning,pass,"Shared nonlinear parameters are not retuned."
No normalization or bounds change,pass,"Frozen normalization and bounds are preserved."
No prediction clipping,pass,"Out-of-bound predictions are retained, not clipped."
No channel reassignment,pass,"R1/R2 primary/secondary mapping is preserved."
No thermal feedback,pass,"Electrothermal feedback is not introduced."
All four channels assessed,pass,"AS001/AS004 primary/secondary channels are all assessed."
Relative and absolute performance separated,pass,"Directional improvement is not treated as adequacy."
Prediction-bound violations retained,pass,"Bounds failures remain explicit."
AS004-primary failure retained,pass,"AS004 primary remains quantitatively inadequate."
Thermal non-identifiability preserved,pass,"14C is not run because thermal evidence is not identifiable."
Shared quantitative predictor claim bounded,pass,"No universal shared quantitative predictor is claimed."
Shared quantitative raw nonlinear predictor,fail,"Scientific adequacy gate fails by design; it is not a workflow failure."
Clean provenance,pass,"True only for clean source before Phase 14D writes outputs."
