device,replay_class,replay_id,parameter_name,parameter_value,baseline_DeltaS,deltaS_drift,replay_DeltaS,baseline_direction,replay_direction,Z_drift,replay_status,note
AS001,disorder_seed,seed_1,seed_index,1,-0.0235825070255738,0.00344961690897335,-0.0201328901166004,structured_direction,structured_direction,0.0862404227243338,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,disorder_seed,seed_2,seed_index,2,-0.0235825070255738,0.00392089789115218,-0.0196616091344216,structured_direction,near_tie,0.0980224472788045,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,disorder_seed,seed_3,seed_index,3,-0.0235825070255738,0.00239388857641583,-0.021188618449158,structured_direction,structured_direction,0.0598472144103956,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,disorder_seed,seed_4,seed_index,4,-0.0235825070255738,-0.00035316891273043,-0.0239356759383042,structured_direction,structured_direction,-0.00882922281826076,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,disorder_seed,seed_5,seed_index,5,-0.0235825070255738,-0.0029202334433572,-0.026502740468931,structured_direction,structured_direction,-0.07300583608393,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,disorder_seed,seed_6,seed_index,6,-0.0235825070255738,-0.00399899750899198,-0.0275815045345658,structured_direction,structured_direction,-0.0999749377247994,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,disorder_seed,seed_7,seed_index,7,-0.0235825070255738,-0.00303966771412625,-0.0266221747397,structured_direction,structured_direction,-0.0759916928531562,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,disorder_seed,seed_8,seed_index,8,-0.0235825070255738,-0.00053116763541007,-0.0241136746609839,structured_direction,structured_direction,-0.0132791908852518,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,disorder_seed,seed_9,seed_index,9,-0.0235825070255738,0.00224804266360297,-0.0213344643619708,structured_direction,structured_direction,0.0562010665900743,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,disorder_seed,seed_10,seed_index,10,-0.0235825070255738,0.0038815353320023,-0.0197009716935715,structured_direction,near_tie,0.0970383833000575,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,disorder_seed,seed_1,seed_index,1,0.032156854108136,0.00390289343130664,0.0360597475394426,M0star_direction,M0star_direction,0.0975723357826659,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,disorder_seed,seed_2,seed_index,2,0.032156854108136,0.00349253191803007,0.0356493860261661,M0star_direction,M0star_direction,0.0873132979507516,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,disorder_seed,seed_3,seed_index,3,0.032156854108136,0.00130219733807024,0.0334590514462062,M0star_direction,M0star_direction,0.032554933451756,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,disorder_seed,seed_4,seed_index,4,0.032156854108136,-0.00155180367176692,0.0306050504363691,M0star_direction,M0star_direction,-0.038795091794173,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,disorder_seed,seed_5,seed_index,5,0.032156854108136,-0.00361492608540122,0.0285419280227348,M0star_direction,M0star_direction,-0.0903731521350305,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,disorder_seed,seed_6,seed_index,6,0.032156854108136,-0.00383569709865255,0.0283211570094834,M0star_direction,M0star_direction,-0.0958924274663139,completed,Frozen-context replay perturbation; no model refit or relabeling.
