artifact_id,path,required,purpose,exists,file_size_bytes,modified_datenum,frozen_use
phase5A_primary_transfer_summary,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5_levelA_device_summary.csv,1,primary R(T) transfer result,1,1667,740190.97318287,read_only_input_no_recalibration
phase5B_device_evidence_table,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5B_device_evidence_table.csv,1,secondary-probe hierarchy evidence,1,1450,740190.97693287,read_only_input_no_recalibration
phase5B1_activation_heldout_validation,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5B1_activation_heldout_validation.csv,0,strict held-out activation-law result,1,2203,740191.310821759,read_only_input_no_recalibration
phase5B2_force_law_device_predictions,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5B2_full_series_device_predictions.csv,0,full-series descriptive force-law result,1,1139,740191.32505787,read_only_input_no_recalibration
phase5B2_gate_results,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5B2_consolidation_gate_results.csv,0,mixed/limited force-law transfer gate,1,1135,740191.32505787,read_only_input_no_recalibration
phase5C_handoff_status,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_handoff_status.csv,1,synthetic identifiability and misspecification context,1,1468,740191.446712963,read_only_input_no_recalibration
phase5D2_result_freeze_status,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D2_result_freeze_status.csv,1,detection-limit and result-freeze status,1,1251,740191.799884259,read_only_input_no_recalibration
phase5D2_interpretation_policy,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D2_interpretation_policy.csv,1,allowed/prohibited contextual score uses,1,1550,740191.799884259,read_only_input_no_recalibration
phase5D2_validation_status,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D2_validation_status.csv,1,validation seeds preserved and not consumed,1,528,740191.799884259,read_only_input_no_recalibration
phase5D2_real_device_score_context,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D2_real_device_score_context.csv,1,real-device DeltaS/Z context,1,4665,740191.799884259,read_only_input_no_recalibration
phase5D2_handoff_status,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D2_handoff_status.csv,1,handoff to hierarchical six-device freeze,1,866,740191.799884259,read_only_input_no_recalibration
