synthetic_id,evidence_config,true_model,candidate_model,seed,primary_score,primary_curve_score,primary_onset_score,primary_width_score,primary_lowT_score,secondary_score,total_score,complexity_K,penalized_score,structured_candidate,selected_model,selected_score,run_status,second_best_model,second_best_score,selection_margin,unresolved
primary_only_M0_seed_0001,primary_only,M0,M0,1,0.0332170921500304,0.00104740352547046,0.103241296518608,0.0248803008437028,0.0554205730467879,NaN,0.0332170921500304,0,0.0332170921500304,0,M0,0.0332170921500304,scored,M1,0.230563976729259,0.197346884579228,0
primary_only_M0_seed_0001,primary_only,M0,M1,1,0.220563976729259,0.00552082059779351,0.516206482593037,0.675852340603104,0.0878961254752592,NaN,0.220563976729259,1,0.230563976729259,1,M0,0.0332170921500304,scored,M1,0.230563976729259,0.197346884579228,0
primary_only_M0_seed_0001,primary_only,M0,M2,1,0.339810987785619,0.0290012616273321,0.619447779111645,1.08499995697853,0.257805384018961,NaN,0.339810987785619,2,0.359810987785619,1,M0,0.0332170921500304,scored,M1,0.230563976729259,0.197346884579228,0
primary_only_M0_seed_0002,primary_only,M0,M0,2,0.0111051075566884,2.67044210579948e-05,0.0516206482593035,0.00116635336705885,0.00395115126159923,NaN,0.0111051075566884,0,0.0111051075566884,0,M0,0.0111051075566884,scored,M1,0.233803459856265,0.222698352299577,0
primary_only_M0_seed_0002,primary_only,M0,M1,2,0.223803459856265,0.0100930353769781,0.464585834333733,0.699566288079748,0.139365547260448,NaN,0.223803459856265,1,0.233803459856265,1,M0,0.0111051075566884,scored,M1,0.233803459856265,0.222698352299577,0
primary_only_M0_seed_0002,primary_only,M0,M2,2,0.345899075920398,0.039270686422063,0.567827130852341,1.10871390445518,0.30927480580415,NaN,0.345899075920398,2,0.365899075920398,1,M0,0.0111051075566884,scored,M1,0.233803459856265,0.222698352299577,0
primary_only_M0_seed_0003,primary_only,M0,M0,3,0.004109944295287,6.62222048696894e-05,0,0.0129929159453538,0.0141859720069939,NaN,0.004109944295287,0,0.004109944295287,0,M0,0.004109944295287,scored,M1,0.219786119224122,0.215676174928835,0
primary_only_M0_seed_0003,primary_only,M0,M1,3,0.209786119224122,0.00932502841352059,0.41296518607443,0.687739725501453,0.129130726515053,NaN,0.209786119224122,1,0.219786119224122,1,M0,0.004109944295287,scored,M1,0.219786119224122,0.215676174928835,0
primary_only_M0_seed_0003,primary_only,M0,M2,3,0.331477681555691,0.0376945719934769,0.516206482593037,1.09688734187688,0.299039985058755,NaN,0.331477681555691,2,0.351477681555691,1,M0,0.004109944295287,scored,M1,0.219786119224122,0.215676174928835,0
primary_only_M0_seed_0004,primary_only,M0,M0,4,0.0140371206581465,0.000822514633448913,0,0.0325406660014006,0.0582984229414127,NaN,0.0140371206581465,0,0.0140371206581465,0,M0,0.0140371206581465,scored,M1,0.241317678364869,0.227280557706723,0
