gate,outcome,note
Phase 12B fields consumed unchanged,pass,"Phase 13A consumes frozen Phase 12B mechanical components."
Phase 12C remains qualitative only,pass,"Phase 12C is retained only as independent qualitative compatibility."
Constitutive equations frozen,pass,"No R(T) residuals are inspected before equation freeze."
Local Tc and connectivity roles separated,pass,"Coverage/thickness map mostly to Tc; boundary/crack map mostly to Wij."
Shared coefficients across devices,pass,"Beta/gamma parameters are global, not per device."
No device-specific mechanism parameters,pass,"Per-device mechanism knobs are prohibited."
Normal-state scaling separated,pass,"Measured RN/geometry/probe effects remain separate from mechanism."
Disorder law frozen,pass,"One shared disorder law and seed policy are declared."
Phase 6/v8 labels not used as fitting targets,pass,"Frozen interpretive conclusions are not calibration labels."
Calibration and holdout plan predeclared,pass,"Leave-one-device-out shared-parameter plan is emitted."
Raman not used to fit transport,pass,"Raman forward predictions do not determine beta/gamma."
Parameter priors bounded,pass,"Every global prior has lower and upper bounds."
No post-freeze retuning in Phase 13A,pass,"If prediction fails, record failure or missing-input audit."
Clean provenance,pass,"True only when the runner starts from a clean checkout."
