item,status,note
phase14D_closure,pass_read_only_raw_nonlinear_adequacy_assessment,"Read-only assessment closes as a bounded claim freeze."
phase14D_decision,pass_selected_device_current_switching_scope,"The selected-device NI contribution is supported, not quantitative transfer."
execution_integrity,pass,"Workflow integrity permits a failing adequacy claim."
current_switching_directionally_supported,true,"NI improves all retained channels."
shared_raw_nonlinear_predictor,false,"Not established because bounds and AS004 primary adequacy fail."
prediction_bounds_limitation,retained,"Bounds failures are carried into Phase 15/claim text."
AS004_primary_quantitative_adequacy,fail,"AS004 primary is the hard nonlinear residual failure."
phase14C_status,not_run,"Phase 14C remains conditional and is not executed here."
phase14C_trigger_reason,thermal_feedback_not_identifiable_from_available_raw_grids,"Frozen raw-grid metadata do not identify thermal feedback."
electrothermal_feedback,not_identifiable,"Heating is not proven absent; it is not identifiable here."
source_phase14B5_artifact_commit,b94ba33,"Canonical Phase 14B.5 artifact input."
source_pre_run_clean,true,"True only when source was clean before writing Phase 14D artifacts."
next_phase,phase15_field_dependent_and_phase_aware_transport,"Next roadmap phase."
