gate,outcome,note
Phase 15B specification consumed unchanged,pass,"Frozen Phase 15B handoff is read as input."
Phase 15B artifact commit reachable,pass,"The Phase 15B artifact-freeze commit is in the source history."
Zero-field NI recovery,pass,"PB and Pphi recover NI at B=0 within tolerance."
Single link produces no artificial loop oscillation,pass,"A single link has sin(phi) current but no loop periodicity."
Two-path interference demonstrated,pass,"A two-path loop produces constructive/destructive interference."
Phi0 periodicity verified,pass,"Response repeats after one flux quantum."
Effective-area inverse scaling verified,pass,"Synthetic period scales inversely with effective area."
PB remains nonoscillatory,pass,"PB provides only monotonic field suppression."
Oscillations require active phase loop,pass,"Oscillation vanishes when loop, phase, or flux is removed."
Field symmetry passes for symmetric geometry,pass,"Symmetric synthetic geometry is even in B."
R1/R2 share one phase state,pass,"R1/R2 do not receive independent periods."
Phase and flux constraints converge,pass,"Static constrained phase solver diagnostics are bounded."
Flux-state stability logged,pass,"Multiple initial fluxoid states are audited."
No AS006 residuals inspected,pass,"AS006 maps are reserved for Phase 15D."
No fitted oscillation period,pass,"No observed field period enters synthetic verification."
No topology or thermal terms,pass,"Excluded physics remains excluded."
Clean provenance,pass,"The checkout was clean before Phase 15C wrote outputs."
