device,sourceVersion,sourceRole,sourceFile,caseName,topology,linkClass,calibrationMode,seed,mechanism,parameterSignature,alphaGap,gammaW,pW,meanW,minW,activeWeakLinkFraction,shapeScore,conductanceScore,evidenceScore,scoreBasis,shapeAsymmetry,conductanceAsymmetry,asymmetryScore
AS006,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv,crack_tunnel_a3_3_g0_05_p0_3,tear_lane,crack_tunnel,shape,101,crack/tunnel-like weak links,crack_tunnel_a3_3_g0_05_p0_3|tear_lane|crack_tunnel|alpha=3.3|gamma=0.05|p=0.3,3.3,0.05,0.3,0.714793028322442,0.05,0.300217864923747,0.188576564312185,0.229209665874923,0.188576564312185,shapeScore,0.0556134011595807,0.202775554193504,0.0556134011595807
AS006,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_202/AS006_v7_4_6_gap_weaklink_scores.csv,anisotropic_gap_control,anisotropic,anisotropic,shape,202,anisotropic control,anisotropic_gap_control|anisotropic|anisotropic|alpha=3.7|gamma=0.01|p=0.08,3.7,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,0.190147510788844,0.196211055612859,0.190147510788844,shapeScore,0.0475980064129518,0.0463122172332099,0.0475980064129518
AS006,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_202/AS006_v7_4_6_gap_weaklink_scores.csv,crack_tunnel_a4_1_g0_05_p0_3,tear_lane,crack_tunnel,shape,202,crack/tunnel-like weak links,crack_tunnel_a4_1_g0_05_p0_3|tear_lane|crack_tunnel|alpha=4.1|gamma=0.05|p=0.3,4.1,0.05,0.3,0.714793028322442,0.05,0.300217864923747,0.190260972284654,0.232717212985436,0.190260972284654,shapeScore,0.0539064187681334,0.207986134450019,0.0539064187681334
AS006,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv,crack_tunnel_a3_3_g0_1_p0_3,tear_lane,crack_tunnel,shape,101,crack/tunnel-like weak links,crack_tunnel_a3_3_g0_1_p0_3|tear_lane|crack_tunnel|alpha=3.3|gamma=0.1|p=0.3,3.3,0.1,0.3,0.72980392156863,0.1,0.300217864923747,0.190297028531978,0.204663223136494,0.190297028531978,shapeScore,0.0535445478378097,0.122028522443667,0.0535445478378097
AS006,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_606/AS006_v7_4_6_gap_weaklink_scores.csv,crack_tunnel_a3_7_g0_05_p0_3,tear_lane,crack_tunnel,shape,606,crack/tunnel-like weak links,crack_tunnel_a3_7_g0_05_p0_3|tear_lane|crack_tunnel|alpha=3.7|gamma=0.05|p=0.3,3.7,0.05,0.3,0.714793028322442,0.05,0.300217864923747,0.190355636797569,0.232914630483432,0.190355636797569,shapeScore,0.0581601284443654,0.202517213329838,0.0581601284443654
AS006,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_202/AS006_v7_4_6_gap_weaklink_scores.csv,contact_relaxed_a3_3_g0_4_p0_3,contact_relaxation,contact_relaxed,conductance,202,contact-relaxed weak links,contact_relaxed_a3_3_g0_4_p0_3|contact_relaxation|contact_relaxed|alpha=3.3|gamma=0.4|p=0.3,3.3,0.4,0.3,0.819869281045749,0.4,0.300217864923747,0.207458954451597,0.190362682188533,0.190362682188533,conductanceScore,0.0481388733656158,0.0481834650559402,0.0481834650559402
AS006,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv,contact_relaxed_a3_3_g0_4_p0_3,contact_relaxation,contact_relaxed,conductance,101,contact-relaxed weak links,contact_relaxed_a3_3_g0_4_p0_3|contact_relaxation|contact_relaxed|alpha=3.3|gamma=0.4|p=0.3,3.3,0.4,0.3,0.819869281045749,0.4,0.300217864923747,0.207117156837031,0.190579159697661,0.190579159697661,conductanceScore,0.0481572526221635,0.0517787370385093,0.0517787370385093
AS006,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_202/AS006_v7_4_6_gap_weaklink_scores.csv,contact_relaxed_a3_7_g0_4_p0_3,contact_relaxation,contact_relaxed,conductance,202,contact-relaxed weak links,contact_relaxed_a3_7_g0_4_p0_3|contact_relaxation|contact_relaxed|alpha=3.7|gamma=0.4|p=0.3,3.7,0.4,0.3,0.819869281045749,0.4,0.300217864923747,0.209210373352131,0.190932016392906,0.190932016392906,conductanceScore,0.0483690278439708,0.0481758130608931,0.0481758130608931
AS006,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_808/AS006_v7_4_6_gap_weaklink_scores.csv,crack_tunnel_a3_3_g0_05_p0_3,tear_lane,crack_tunnel,shape,808,crack/tunnel-like weak links,crack_tunnel_a3_3_g0_05_p0_3|tear_lane|crack_tunnel|alpha=3.3|gamma=0.05|p=0.3,3.3,0.05,0.3,0.714793028322442,0.05,0.300217864923747,0.191086450530791,0.227601665091728,0.191086450530791,shapeScore,0.0559406504238784,0.188634533686554,0.0559406504238784
AS006,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv,contact_relaxed_a3_7_g0_4_p0_3,contact_relaxation,contact_relaxed,conductance,101,contact-relaxed weak links,contact_relaxed_a3_7_g0_4_p0_3|contact_relaxation|contact_relaxed|alpha=3.7|gamma=0.4|p=0.3,3.7,0.4,0.3,0.819869281045749,0.4,0.300217864923747,0.208887134487594,0.19125508201,0.19125508201,conductanceScore,0.0482401093876075,0.0517486771551976,0.0517486771551976
